7,8,12
4,8,11
7,10,14
6,10,12
7,10,12
3,6,11
6,10,12
2,5,11
4,6,11
0,0,10
9,11,14
4,6,11
8,10,11
2,6,12
3,5,10
5,10,13
9,10,13
9,13,14
6,8,12
11,13,13
7,11,13
4,4,11
6,8,12
2,2,10
6,12,13
6,6,12
6,6,12
2,7,10
2,6,10
5,7,12
8,13,17
4,12,12
6,8,11
8,13,13
7,11,12
4,10,11
7,7,13
8,12,13
4,7,11
4,9,12
4,7,11
7,11,13
7,10,11
4,9,12
4,7,11
8,8,12
7,11,14
10,13,14
9,11,13
4,7,11
0,0,9
4,8,11
4,9,12
4,8,11
4,4,11
6,13,13
4,7,11
6,8,12
5,9,14
9,12,13
6,9,12
14,17,19
2,2,10
2,2,10
4,9,11
5,8,12
5,8,12
5,7,11
5,7,11
5,9,12
4,7,13
4,8,11
4,10,11
11,14,15
6,11,12
5,10,11
2,2,10
4,4,11
5,7,13
8,13,14
6,8,11
10,10,13
6,10,14
4,4,10
6,6,10
4,6,11
4,9,11
4,7,12
2,2,11
4,7,12
6,9,12
2,2,10
0,0,9
5.593,8.254,11.985
